Ano;Máximo;Mínimo;Média;Desvio Padrão;Total
1994;16748;0;180.524;1310.43;30328
1995;17379;0;356.464;1402.92;59886
1996;15641;0;343.714;1269.78;57744
1997;15703;0;339.81;1267.23;57088
1998;16395;0;341.631;1320.42;57394
1999;16767;0;344.863;1355.63;57937
2000;15731;0;335.976;1268.01;56444
2001;13818;0;318.607;1132.62;53526
2002;13286;25;316.964;1094.28;53250
2003;14100;27;311.381;1147;52312
2004;13424;22;302.411;1097.06;50805
2005;13718;20;311.488;1122.44;52330
2006;12606;15;286.44;1044.91;48122
2007;11771;17;286.143;993.31;48072
2008;12446;21;296.53;1043.03;49817
2009;12117;24;291.256;1021.58;48931
2010;11548;18;283.738;979.965;47668
2011;12199;18;286.315;1022.94;48101
2012;12211;21;279.72;1025.87;46993
2013;11840;19;278.56;1009.47;46798
2014;11862;20;286.375;1014.15;48111
